platform_id,rank,rank_delta,puu_id,summoner_name,riot_id_name,riot_id_tag_line,tier,lp,win_cnt,loss_cnt,win_rate,level,icon_id,pro_streamer,name,team_as,most_role,most_champion,rest_cnt,ai_score_avg,winning
NA1,10,-1,YOXqJy1agmGvQ12HnCIkfv5HeCQQCL8zdBmRkALgQBhcEttUjgjAWknSNLQBeZDJeREtjvA84Fn97A,Endorfin,Kelpo,0001,CHALLENGER,1293,156,99,0.612,490,25,,,,Middle,"['166', '157', '136', '777', '16']",1,0.0,1
NA1,8,0,s5gp-1ZrZKQctmJtWbKbGtvZAtVGssmPReWyMOGVjOb-wvh6LK310ZpAaUnFAQ_F4j6CRDTDdkissg,T0mio,T0mio,NA1,CHALLENGER,1320,160,113,0.586,520,4379,pro,Tomio,SR,Jungle,"['106', '64', '254', '234', '163']",1,0.0,5
NA1,61,1,rpVg_pCinZa0UX6HD81kUFAM8JGG7mlAWAHSCs08P5D92Ujrcqhn6KzDSceWkge6EFXuCcTMaKgcZg,Breezyyy,Breezyyy,NA1,CHALLENGER,1001,306,263,0.538,1068,5542,pro,Breezy,AOE,Supporter,"['12', '111', '497', '22', '235']",1,0.0,3
NA1,33,-11,Ugs7YPuUaLDOE8sTs0DQfWuvs4sRQw50GIlDtj3Wb9zw7CnTuHh0mRMAkU1IugTr8Q3WQKjaOVZa3g,Not Cupic,Cupic,Hwei,CHALLENGER,1095,133,82,0.619,294,4083,Streamer,Cupic,,Middle,"['147', '99', '910', '901', '43']",1,0.0,-1
NA1,29,3,3IwHOKSvi1Gpi_nJfLz7r_uyMN5gZxVJlBj7O18knvVJynMxo1wYowy_yTS_BEDqaUWPvJAMAb3MMg,ToastyAlex,ToastyAlex,NA1,CHALLENGER,1114,147,100,0.595,783,539,,,,Middle,"['901', '145', '103', '517', '43']",1,0.0,6
NA1,26,2,c4ObHVqzqtinVZwuqLd4Jkx1Nr6GGD_xp2Fv-wEAS_epP3_8IZIWm54L-nLrkAuEsumF0aPaHAbH5Q,kisno,kisno,NA1,CHALLENGER,1131,247,199,0.554,526,6555,,,,Jungle,"['234', '5', '203', '62', '157']",1,0.0,1
NA1,62,4,3fYgRJloiQq9vNKpfrXL4iG_LeYWFaIsyyEAm39oo_d_Z8Dm4aGZ101hrP9YMZUI0IbLjdDa9Q7agg,Eren Jáger,eto,Stk,CHALLENGER,1000,106,54,0.662,65,1588,,,,Jungle,"['107', '30', '28', '102', '9']",1,0.0,2
NA1,56,-2,CHd0tsJwUWG6HJ2G28_S43wfzuhlfr8v9AHqV-iGJsy03fvIP5-G3LC6NS2ItoSXYnWhQ5PuT6cCGQ,Messarizz,Messages,Rizz,CHALLENGER,1024,190,150,0.559,612,6498,,,,Middle,"['711', '901', '45', '96', '103']",1,0.0,-1
NA1,72,2,8AxycOfnJnkrsBY8R7EhpQlLdtE_NO8nNmntCot3FixSUoYfneIW6Xw8eVUZNarzTyuvpSe2TQzGgg,huhi,huhi,0246,CHALLENGER,949,158,110,0.59,523,3591,pro,huhi,NRG,Bot,"['145', '235', '53', '901', '234']",1,0.0,2
NA1,73,52,lUlzPvPyQj6-FcQ1yojMQjQeR6cn-zmL-5PUgnjr1sM8am6CTjQoi6XWrxAN7jx6ByntvtgUZi2OTA,PantsAreFacebook,PantsAreYouTube,na2,CHALLENGER,948,265,222,0.544,320,3440,,,,Bot,"['106', '40', '62', '147', '235']",1,0.0,-2
